Vector Size,Bubble Reads,Bubble Writes,Selection Reads,Selection Writes,Insertion Reads, Insertion Writes,Heap Reads,Heap Writes
100,11754,4671,594,297,4869,1755,3578,297
200,46534,19821,1292,597,20219,7005,10201,597
300,108768,39312,1900,897,39910,13702,26643,897
400,214670,86583,2628,1197,87381,29659,44386,1197
500,319738,133305,3362,1497,134303,45433,60591,1497
600,488098,205881,3920,1797,207079,69825,81517,1797
700,692764,312441,4682,2097,313839,105545,100779,2097
800,922086,426669,5384,2397,428267,143821,120930,2397
900,1180964,568506,6230,2697,570304,191300,140493,2697
1000,1443546,706917,6946,2997,708915,237637,160360,2997
,,,,,,
