Vector Size,Bubble Reads,Bubble Writes,Bubble Time,Selection Reads,Selection Writes,Selection Time,Insertion Reads, Insertion Writes,Insertion Time,Heap Reads,Heap Writes,Heap Time
100,11754,4671,1.1914,594,297,1.0422,4869,1755,0.8435,3578,297,0.6466
200,46534,19821,0.8214,1292,597,0.6818,20219,7005,0.8739,10201,597,1.0771
300,108768,39312,0.8116,1900,897,0.8046,39910,13702,0.5952,26643,897,0.7502
400,214670,86583,1.1671,2628,1197,0.8874,87381,29659,0.718,44386,1197,1.1451
500,319738,133305,1.5024,3362,1497,1.1947,134303,45433,0.7856,60591,1497,1.6171
600,488098,205881,2.777,3920,1797,1.5211,207079,69825,0.7991,81517,1797,1.3173
700,692764,312441,3.0994,4682,2097,1.8064,313839,105545,1.0758,100779,2097,1.8995
800,922086,426669,5.0638,5384,2397,2.2411,428267,143821,1.5078,120930,2397,2.0468
900,1180964,568506,4.2937,6230,2697,2.4461,570304,191300,1.8299,140493,2697,2.2894
1000,1443546,706917,5.1599,6946,2997,2.92,708915,237637,2.0693,160360,2997,3.6207
,,,,,,,,,
